type,uri,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
skos:ConceptScheme,cs:bemonsteringsinstrument,bemonsteringsinstrument,,,Codelijst bemonsteringsinstrument.,,,,,,,Beschrijving welke procedure werd gevolgd bij de bemonstering.,,,,,,,,,,,,,
skos:Collection,colt:bemonsteringsinstrumenten,bemonsteringsinstrumenten,,,Collectie van bemonsteringsinstrumenten.,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,
skos:Concept,ct:steekguts,steekguts,colt:bemonsteringsinstrumenten,,Steekguts,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekguts30mm,steekguts30mm,colt:bemonsteringsinstrumenten,,Steekguts 30mm,,ct:steekguts,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekguts25mm,steekguts25mm,colt:bemonsteringsinstrumenten,,Steekguts 25mm,,ct:steekguts,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekguts20mm,steekguts20mm,colt:bemonsteringsinstrumenten,,Steekguts 20mm,,ct:steekguts,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ring,ring,colt:bemonsteringsinstrumenten,,Ring,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:kopeckysteekset100cm3,kopeckysteekset100cm3,colt:bemonsteringsinstrumenten,,Kopecky steekset 100cm3,,ct:ring,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekhuls,steekhuls,colt:bemonsteringsinstrumenten,,Steekhuls,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekhuls192cm3,steekhuls192cm3,colt:bemonsteringsinstrumenten,,Steekhuls 192cm3,,ct:steekhuls,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekbus,steekbus,colt:bemonsteringsinstrumenten,,Steekbus,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dunwandig,dunwandig,colt:bemonsteringsinstrumenten,,Dunwandige steekbus,,ct:steekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dunwandiggedrukt,dunwandiggedrukt,colt:bemonsteringsinstrumenten,,Dunwandige steekbus - gedrukt (OS-T/W-PU),,ct:dunwandig,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dunwandiggeslagen,dunwandiggeslagen,colt:bemonsteringsinstrumenten,,Dunwandige steekbus - geslagen (OS-T/W-PE),,ct:dunwandig,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dikwandig,dikwandig,colt:bemonsteringsinstrumenten,,Dikwandige steekbus,,ct:steekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dikwandiggeslagen,dikwandiggeslagen,colt:bemonsteringsinstrumenten,,Dikwandig steekbus - geslagen (OS-T/W-PE),,ct:dikwandig,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ackermansteekbus,ackermansteekbus,colt:bemonsteringsinstrumenten,,Ackerman steekbus,,ct:steekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ackermangedrukt,ackermangedrukt,colt:bemonsteringsinstrumenten,,Ackerman steekbus - gedrukt,,ct:ackermansteekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ackermangeslagen,ackermangeslagen,colt:bemonsteringsinstrumenten,,Ackerman steekbus - geslagen,,ct:ackermansteekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:buis,buis,colt:bemonsteringsinstrumenten,,Buis,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:enkelwandigkernbuis,enkelwandigkernbuis,colt:bemonsteringsinstrumenten,,Enkelwandige kernbuis (CS-ST),,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dubbelwandigekernbuis,dubbelwandigekernbuis,colt:bemonsteringsinstrumenten,,Dubbelwandige kernbuis (CS-DT),,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:trippelwandigekernbuis,trippelwandigekernbuis,colt:bemonsteringsinstrumenten,,Trippelwandige kernbuis (CS-TT),,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:aqualock,aqualock,colt:bemonsteringsinstrumenten,,Aqualock,,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:piston,piston,colt:bemonsteringsinstrumenten,,Piston (PS),,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dunwandigepiston,dunwandigepiston,colt:bemonsteringsinstrumenten,,Dunwandige piston,,ct:piston,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dikwandigepiston,dikwandigepiston,colt:bemonsteringsinstrumenten,,Dikwandige piston,,ct:piston,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:aqualockpiston,aqualockpiston,colt:bemonsteringsinstrumenten,,Aqualock,,ct:piston,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:pvcaangescherpt30mm,pvcaangescherpt30mm,colt:bemonsteringsinstrumenten,,PVC aangescherpte buis 30mm,,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:pomp,pomp,colt:bemonsteringsinstrumenten,,Pomp,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:zuigpomp,zuigpomp,colt:bemonsteringsinstrumenten,,Zuigpomp,,ct:pomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:slangenpomp,slangenpomp,colt:bemonsteringsinstrumenten,,Slangenpomp of Peristaltische pomp,,ct:zuigpomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:bovcentrifugaalpomp,bovcentrifugaalpomp,colt:bemonsteringsinstrumenten,,Bovengrondse centrifugaalpomp,,ct:zuigpomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:vacuumpomp,vacuumpomp,colt:bemonsteringsinstrumenten,,Vacuumpomp,,ct:zuigpomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:perspomp,perspomp,colt:bemonsteringsinstrumenten,,Perspomp,,ct:pomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:balgpomp,balgpomp,colt:bemonsteringsinstrumenten,,Balgpomp (Gasdruksysteem),,ct:perspomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dubkleppomp,dubkleppomp,colt:bemonsteringsinstrumenten,,Dubbele kleppomp,,ct:perspomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:pulsslang,pulsslang,colt:bemonsteringsinstrumenten,,Pulsslang (Kogelkleppomp),,ct:perspomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dompelpompond,dompelpompond,colt:bemonsteringsinstrumenten,,Dompelpomp (Onderwatercentrifugaalpomp),,ct:perspomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dompelpomp12v,dompelpomp12v,colt:bemonsteringsinstrumenten,,Dompelpomp (12V DCpompjes),,ct:perspomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:boor,boor,colt:bemonsteringsinstrumenten,,Boor,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:handboor,handboor,colt:bemonsteringsinstrumenten,,Handboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:lepelboor,lepelboor,colt:bemonsteringsinstrumenten,,Lepelboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:pulsboor,pulsboor,colt:bemonsteringsinstrumenten,,Pulsboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:spiraalboor,spiraalboor,colt:bemonsteringsinstrumenten,,Spiraalboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:spoelboor,spoelboor,colt:bemonsteringsinstrumenten,,Spoelboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:zuigboor,zuigboor,colt:bemonsteringsinstrumenten,,Zuigboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:zuigerboor,zuigerboor,colt:bemonsteringsinstrumenten,,Zuigerboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:kerboor,kerboor,colt:bemonsteringsinstrumenten,,Kernboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:enkkernbuis,enkkernbuis,colt:bemonsteringsinstrumenten,,Enkelwandige kernbuis (CS-ST),,ct:kerboor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dubkernbuis,dubkernbuis,colt:bemonsteringsinstrumenten,,Dubbelwandige kernbuis (CS-DT),,ct:kerboor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:tripkernbuis,tripkernbuis,colt:bemonsteringsinstrumenten,,Trippelwandige kernbuis (CS-TT),,ct:kerboor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ramkernboor,ramkernboor,colt:bemonsteringsinstrumenten,,Ramkernboor,,ct:kerboor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:luchthamer,luchthamer,colt:bemonsteringsinstrumenten,,Luchthamer,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:hamerboor,hamerboor,colt:bemonsteringsinstrumenten,,Hamerboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:avegaarbooras,avegaarbooras,colt:bemonsteringsinstrumenten,,Avegaarboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:platavegaarboor,platavegaarboor,colt:bemonsteringsinstrumenten,,Platte avegaarboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:holavegaarboorhsas,holavegaarboorhsas,colt:bemonsteringsinstrumenten,,Holle avegaarboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:holavegaarboorlin,holavegaarboorlin,colt:bemonsteringsinstrumenten,,Holle avegaarboor met liner,,ct:holavegaarboorhsas,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:slagboor,slagboor,colt:bemonsteringsinstrumenten,,Slagboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:trilboor,trilboor,colt:bemonsteringsinstrumenten,,Trilboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steenboor,steenboor,colt:bemonsteringsinstrumenten,,Steenboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:lansboor,lansboor,colt:bemonsteringsinstrumenten,,Lansboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:grijpboor,grijpboor,colt:bemonsteringsinstrumenten,,Grijpboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:edelmanboor,edelmanboor,colt:bemonsteringsinstrumenten,,Edelmanboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:veenboor,veenboor,colt:bemonsteringsinstrumenten,,Veenboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:riversideboor,riversideboor,colt:bemonsteringsinstrumenten,,Riverside boor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:geoprobe,geoprobe,colt:bemonsteringsinstrumenten,,Geoprobe,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ramguts,ramguts,colt:bemonsteringsinstrumenten,,Ramguts,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ramgutslin,ramgutslin,colt:bemonsteringsinstrumenten,,Ramguts met liner,,ct:ramguts,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ramgutszlin,ramgutszlin,colt:bemonsteringsinstrumenten,,Ramguts zonder liner,,ct:ramguts,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:rollenbeitel,rollenbeitel,colt:bemonsteringsinstrumenten,,Rollebeitel,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:luchthevel,luchthevel,colt:bemonsteringsinstrumenten,,Luchthevel,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:diamantboor,diamantboor,colt:bemonsteringsinstrumenten,,Diamantboor,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:vibrocore,vibrocore,colt:bemonsteringsinstrumenten,,Vibrocore,,ct:boor,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:graafmachine,graafmachine,colt:bemonsteringsinstrumenten,,Graafmachine,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:spade,spade,colt:bemonsteringsinstrumenten,,Spade,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:schep,schep,colt:bemonsteringsinstrumenten,,Schep,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:watermonsternemer,watermonsternemer,colt:bemonsteringsinstrumenten,,Watermonsternemer,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:scheppot,scheppot,colt:bemonsteringsinstrumenten,,Scheppot,,ct:watermonsternemer,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:kraantje,kraantje,colt:bemonsteringsinstrumenten,,Kraantje,,ct:watermonsternemer,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:waterfles,waterfles,colt:bemonsteringsinstrumenten,,Waterfles,,ct:watermonsternemer,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:watertrap,watertrap,colt:bemonsteringsinstrumenten,,Watertrap,,ct:watermonsternemer,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:strooiselkader,strooiselkader,colt:bemonsteringsinstrumenten,,Strooiselkader,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:rvsstrooiselkader25cm,rvsstrooiselkader25cm,colt:bemonsteringsinstrumenten,,RVS Strooiselkader zijde 25cm,,ct:strooiselkader,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
